Date,PD,Readed plots,Expected plots,Missed plots,Outer areas plots,SUC mean delay [ms],SUC max delay [ms],Notes
2014-12-09 12:00,99.07,12142,12256,114,0,97.97,101.5625, 
2014-12-09 08:00,99.02,16147,16306,159,0,99.01,296.875, 
2014-12-09 04:00,98.49,8703,8836,133,0,96.36,500.0, 
2014-12-09 00:00,99.44,532,535,3,0,96.22,265.625, 
2014-12-08 20:00,98.44,11265,11444,179,1,100.04,484.375, 
2014-12-08 16:00,98.96,16485,16659,174,1,98.33,265.625, 
2014-12-08 12:00,99.09,14072,14201,129,0,98.03,562.5, 
2014-12-08 08:00,98.76,14844,15031,187,0,98.4,351.5625, 
2014-12-08 04:00,99.29,7844,7900,56,0,97.59,101.5625, 
2014-12-08 00:00,96.47,656,680,24,0,95.29,101.5625, 
2014-12-07 20:00,98.8,6730,6812,82,0,99.71,101.5625, 
2014-12-07 16:00,98.75,16682,16894,212,0,100.12,210.9375, 
2014-12-07 12:00,99.25,9188,9257,69,0,97.81,140.625, 
2014-12-07 08:00,99.04,14774,14917,143,1,96.95,101.5625, 
2014-12-07 04:00,98.6,8541,8662,121,0,96.54,101.5625, 
2014-12-07 00:00,99.36,3114,3134,20,0,95.95,101.5625, 
2014-12-06 20:00,98.54,8489,8615,126,0,99.49,335.9375, 
2014-12-06 16:00,98.78,15679,15872,193,2,99.4,289.0625, 
2014-12-06 12:00,99.06,12819,12940,121,2,97.88,710.9375, 
2014-12-06 08:00,98.86,21883,22135,252,2,97.4,265.625, 
2014-12-06 04:00,98.33,11383,11576,193,1,97.55,101.5625, 
2014-12-06 00:00,98.96,952,962,10,0,94.7,101.5625, 
2014-12-05 20:00,98.49,12478,12669,191,0,100.22,531.25, 
2014-12-05 16:00,99.01,19726,19923,197,4,99.99,445.3125, 
2014-12-05 12:00,99.23,16168,16293,125,4,99.38,718.75, 
2014-12-05 08:00,98.76,19726,19974,248,2,97.31,289.0625, 
2014-12-05 04:00,97.83,9309,9515,206,1,95.69,101.5625, 
2014-12-05 00:00,99.81,2664,2669,5,0,96.46,109.375, 
2014-12-04 20:00,99.1,7245,7311,66,0,99.82,296.875, 
2014-12-04 16:00,98.42,19733,20050,317,1,98.98,437.5, 
2014-12-04 12:00,98.4,15688,15943,255,1,98.05,351.5625, 
2014-12-04 08:00,98.95,14926,15085,159,0,97.37,304.6875, 
2014-12-04 04:00,98.93,9951,10059,108,1,95.81,406.25, 
2014-12-04 00:00,99.65,4533,4549,16,0,95.71,101.5625, 
2014-12-03 20:00,98.18,7178,7311,133,0,100.11,164.0625, 
2014-12-03 16:00,98.5,18953,19241,288,2,98.32,367.1875, 
2014-12-03 12:00,98.81,13565,13729,164,0,97.12,101.5625, 
2014-12-03 08:00,98.56,23224,23564,340,1,97.6,359.375, 
2014-12-03 04:00,98.7,10058,10190,132,2,97.45,195.3125, 
2014-12-03 00:00,98.91,544,550,6,0,97.36,101.5625, 
2014-12-02 20:00,98.93,6964,7039,75,0,98.64,125.0, 
2014-12-02 20:00,98.93,6964,7039,75,0,98.64,125.0,
2014-12-02 16:00,98.95,19085,19287,202,3,98.57,242.1875, 
2014-12-02 12:00,99.2,10986,11075,89,1,97.68,164.0625, 
2014-12-02 08:00,98.95,15713,15879,166,1,98.36,132.8125, 
2014-12-02 04:00,98.8,10346,10472,126,0,97.71,101.5625, 
2014-12-02 00:00,98.84,1613,1632,19,0,98.13,156.25, 
2014-12-01 20:00,97.71,7367,7540,173,0,101.15,515.625, 
2014-12-01 16:00,98.64,16646,16875,229,3,98.27,187.5, 
2014-12-01 12:00,98.82,9596,9711,115,1,97.55,195.3125, 
