6150221_00	28.4812090380	-16.3365840137	663.5763990795	21 2  2014	 0 5  32.20     	
6150221_00	28.4812090154	-16.3365840376	663.5763564846	21 2  2014	 0 5  32.40     	
6150221_00	28.4812089853	-16.3365840010	663.5766323246	21 2  2014	 0 5  32.60     	
6150221_00	28.4812090176	-16.3365840025	663.5800829679	21 2  2014	 0 5  32.80     	
6150221_00	28.4812089962	-16.3365840074	663.5755284335	21 2  2014	 0 5  33.00     	
6150221_00	28.4812089998	-16.3365840362	663.5839853426	21 2  2014	 0 5  33.20     	
6150221_00	28.4812090002	-16.3365840201	663.5782089755	21 2  2014	 0 5  33.40     	
6150221_00	28.4812089952	-16.3365840023	663.5796292182	21 2  2014	 0 5  33.60     	
6150221_00	28.4812090004	-16.3365840262	663.5850406736	21 2  2014	 0 5  33.80     	
6150221_00	28.4812090061	-16.3365840110	663.5800552033	21 2  2014	 0 5  34.00     	
6150221_00	28.4812089915	-16.3365840223	663.5857381923	21 2  2014	 0 5  34.20     	
6150221_00	28.4812090065	-16.3365840108	663.5879441705	21 2  2014	 0 5  34.40     	
6150221_00	28.4812090065	-16.3365839963	663.5739650810	21 2  2014	 0 5  34.60     	
6150221_00	28.4812090309	-16.3365840177	663.5920343986	21 2  2014	 0 5  34.80     	
6150221_00	28.4812090164	-16.3365839774	663.5706993947	21 2  2014	 0 5  35.00     	
6150221_00	28.4812090059	-16.3365839942	663.5802800888	21 2  2014	 0 5  35.20     	
6150221_00	28.4812090138	-16.3365840017	663.5908179963	21 2  2014	 0 5  35.40     	
6150221_00	28.4812090079	-16.3365839950	663.5792066744	21 2  2014	 0 5  35.60     	
6150221_00	28.4812090175	-16.3365840138	663.5948293852	21 2  2014	 0 5  35.80     	
6150221_00	28.4812090085	-16.3365839913	663.5776453139	21 2  2014	 0 5  36.00     	
6150221_00	28.4812090154	-16.3365840143	663.5823170459	21 2  2014	 0 5  36.20     	
6150221_00	28.4812090280	-16.3365839926	663.5835881261	21 2  2014	 0 5  36.40     	
6150221_00	28.4812090245	-16.3365839822	663.5788118523	21 2  2014	 0 5  36.60     	
6150221_00	28.4812090030	-16.3365839684	663.5644577686	21 2  2014	 0 5  36.80     	
6150221_00	28.4812090233	-16.3365839853	663.5845718496	21 2  2014	 0 5  37.00     	
6150221_00	28.4812090250	-16.3365839880	663.5774799259	21 2  2014	 0 5  37.20     	
