Cat,Length,FSPEC,DI I010/010 SAC,DI I010/010 SIC,DI I010/000 Message Type,DI I010/020 TRD Type,DI I010/020 TRD DCR,DI I010/020 TRD CHN,DI I010/020 TRD GBS,DI I010/020 TRD CRT,DI I010/140 Time of Day,ADD ON time at recorder,ADD ON delta(t),DI I010/041 Lat,DI I010/041 Lon,DI I010/040 Rho,DI I010/040 Theta,DI I010/042 X,DI I010/042 Y,DI I010/200 V_rho,DI I010/200 V_theta,DI I010/202 V_x,DI I010/202 V_y,DI I010/161 Track No.,DI I010/170 Track Status,DI I010/060 ModeA,DI I010/220 Target Address,DI I010/245 Target ID,DI I010/250 Mode S MB Data,DI I010/300 Vehicle FID,DI I010/090 Fight Level,DI I010/091 Measured Height,DI I010/270 T. Size ,DI I010/270 T. Orientation,DI I010/270 T. Width,DI I010/550 System Status NOGO,DI I010/550 System Status OVL,DI I010/550 System Status TSV,DI I010/550 System Status DIV,DI I010/550 System Status TTF,DI I010/310 PreProgrammed Message,DI I010/550 Standard Deviation of Position sigmaX,DI I010/550 Standard Deviation of Position sigmaY,DI I010/550 Standard Deviation of Position covariXY,DI I010/280 Presence,DI I010/131 Amplitude of Primary Plot,DI I010/210 Calculated Acceleration,SP Special Purpose Field,RE Reserved Expansion Field
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28829.0,28829.0,0.0,,,1496.0,-53.3935546875,-1195,900,109.0,113.609619140625,45,-20,2767,5,,,,,,,,49,227,46,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28829.0,28829.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28829.0,28829.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28830.0,28830.0,0.0,,,2516.0,105.0018310546875,2429,-657,495.0,-63.6273193359375,-200,101,2768,5,,,,,,,,61,-121,62,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28830.0,28830.0,0.0,,,1484.0,-53.2452392578125,-1183,896,110.0,109.0997314453125,47,-16,2767,5,,,,,,,,43,222,40,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28830.0,28830.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28831.0,28831.0,0.0,,,2460.0,105.0128173828125,2374,-643,498.0,-74.7509765625,-217,61,2768,5,,,,,,,,73,-144,98,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28831.0,28831.0,0.0,,,1474.0,-53.1353759765625,-1173,892,96.0,111.610107421875,40,-16,2767,5,,,,,,,,49,227,46,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28831.0,28831.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28832.0,28832.0,0.0,,,2403.0,104.9908447265625,2319,-627,502.0,-74.4268798828125,-218,62,2768,5,,,,,,,,73,-144,110,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28832.0,28832.0,0.0,,,1464.0,-53.0584716796875,-1164,888,86.0,114.7796630859375,35,-16,2767,5,,,,,,,,43,233,40,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28832.0,28832.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28833.0,28833.0,0.0,,,2347.0,104.8974609375,2267,-609,493.0,-71.08154296875,-210,74,2768,5,,,,,,,,73,-138,86,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28833.0,28833.0,0.0,,,1453.0,-52.91015625,-1153,884,105.0,109.368896484375,45,-16,2767,5,,,,,,,,43,222,40,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28833.0,28833.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28834.0,28834.0,0.0,,,2290.0,104.7161865234375,2214,-587,506.0,-68.5601806640625,-212,85,2768,5,,,,,,,,67,-133,98,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28834.0,28834.0,0.0,,,1443.0,-52.811279296875,-1144,880,92.0,112.7911376953125,38,-16,2767,5,,,,,,,,37,227,40,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28834.0,28834.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28834.0,28834.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28835.0,28835.0,0.0,,,2232.0,104.6337890625,2159,-569,511.0,-72.015380859375,-219,73,2768,5,,,,,,,,73,-138,-126,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28835.0,28835.0,0.0,,,1432.0,-52.6409912109375,-1133,877,100.0,105.75439453125,44,-12,2767,5,,,,,,,,43,216,36,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28835.0,28835.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28836.0,28836.0,0.0,,,2175.0,104.43603515625,2105,-547,510.0,-68.53271484375,-214,86,2768,5,,,,,,,,73,-133,106,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28836.0,28836.0,0.0,,,1421.0,-52.5311279296875,-1122,872,101.0,113.3184814453125,42,-18,2767,5,,,,,,,,43,227,34,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28836.0,28836.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28837.0,28837.0,0.0,,,2120.0,104.293212890625,2053,-528,497.0,-70.257568359375,-211,77,2768,5,,,,,,,,79,-138,118,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28837.0,28837.0,0.0,,,1411.0,-52.4212646484375,-1113,868,92.0,112.4505615234375,38,-16,2767,5,,,,,,,,49,227,34,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28837.0,28837.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28838.0,28838.0,0.0,,,2061.0,104.1229248046875,1997,-507,519.0,-69.9334716796875,-220,82,2768,5,,,,,,,,73,-138,94,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28838.0,28838.0,0.0,,,1399.0,-52.3443603515625,-1102,862,106.0,118.2403564453125,42,-23,2767,5,,,,,,,,43,239,34,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28838.0,28838.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28839.0,28839.0,0.0,,,2006.0,103.897705078125,1946,-486,494.0,-68.1536865234375,-207,85,2768,5,,,,,,,,73,-133,86,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28839.0,28839.0,0.0,,,1388.0,-52.3114013671875,-1093,856,100.0,123.167724609375,38,-25,2767,5,,,,,,,,43,250,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28839.0,28839.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23,[209   1   4],1,0,Periodic Status Message,,,,,,28839.0,28839.0,0.0,,,,,,,,,,,,,,,,,,,,,,,Operational,No overload,Time source VALID,Normal Operation,Test Target Operative,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28840.0,28840.0,0.0,,,1949.0,103.721923828125,1892,-467,506.0,-70.224609375,-215,79,2768,5,,,,,,,,79,-138,90,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28840.0,28840.0,0.0,,,1374.0,-52.2674560546875,-1081,848,118.0,123.189697265625,45,-29,2767,5,,,,,,,,43,250,38,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28840.0,28840.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28841.0,28841.0,0.0,,,1892.0,103.568115234375,1838,-448,505.0,-71.3287353515625,-216,74,2768,5,,,,,,,,79,-138,82,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28841.0,28841.0,0.0,,,1363.0,-52.0806884765625,-1070,845,108.0,108.2373046875,46,-15,2767,5,,,,,,,,31,222,26,,,,,,,,,,,,,,
10,20,[208],1,0,Start of Update Cycle,,,,,,28841.0,28841.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28842.0,28842.0,0.0,,,1833.0,103.4417724609375,1782,-430,519.0,-72.5152587890625,-223,72,2768,5,,,,,,,,73,-144,84,,,,,,,,,,,,,,
10,52,[247 241   9  48],1,0,Target Report,PSR,0,2,0,0,28842.0,28842.0,0.0,,,1352.0,-52.00927734375,-1060,839,100.0,118.9874267578125,40,-22,2767,5,,,,,,,,37,239,38,,,,,,,,,,,,,,
